New York,NY,New York NY,8537673,40.7528,-73.9725,10017
Los Angeles,CA,Los Angeles CA,3976322,34.0396,-118.2661,90015
Chicago,IL,Chicago IL,2704958,41.9288,-87.6315,60611
Houston,TX,Houston TX,2303482,29.8688,-95.538,77040
Phoenix,AZ,Phoenix AZ,1615017,33.5586,-112.0955,85021
Philadelphia,PA,Philadelphia PA,1567872,39.9524,-75.1653,19102
San Antonio,TX,San Antonio TX,1492510,29.4244,-98.4842,78205
San Diego,CA,San Diego CA,1406630,32.9014,-117.2079,92121
Dallas,TX,Dallas TX,1317929,32.7825,-96.8207,75207
San Jose,CA,San Jose CA,1025350,37.3239,-121.9144,95126
Austin,TX,Austin TX,947890,30.2058,-97.8002,78745
Jacksonville,FL,Jacksonville FL,880619,30.3533,-81.499,32225
San Francisco,CA,San Francisco CA,870887,37.7353,-122.3732,94124
Columbus,OH,Columbus OH,860090,39.8928,-82.9588,43207
Indianapolis,IN,Indianapolis IN,855164,39.793,-86.2853,46214
Fort Worth,TX,Fort Worth TX,854113,32.7257,-97.3214,76104
Charlotte,NC,Charlotte NC,842051,35.1232,-80.9343,28273
Seattle,WA,Seattle WA,704352,47.6026,-122.3284,98104
Denver,CO,Denver CO,693060,39.7525,-104.9995,80202
El Paso,TX,El Paso TX,683080,31.7958,-106.3762,79925
Boston,MA,Boston MA,673184,42.3496,-71.0746,2116
Detroit,MI,Detroit MI,672795,42.3679,-83.1386,48204
Nashville,TN,Nashville TN,660388,36.1473,-86.777,37203
Memphis,TN,Memphis TN,652717,35.185,-90.0936,38103
Portland,OR,Portland OR,639863,45.4691,-122.5535,97266
Oklahoma City,OK,Oklahoma City OK,638367,35.5798,-97.5731,73120
Las Vegas,NV,Las Vegas NV,632912,36.11,-115.2118,89103
Louisville,KY,Louisville KY,616261,38.0858,-85.8495,40272
Baltimore,MD,Baltimore MD,614664,39.2904,-76.6122,
Milwaukee,WI,Milwaukee WI,595047,43.0434,-87.8945,53202
Albuquerque,NM,Albuquerque NM,559277,35.0441,-106.8904,87121
Tucson,AZ,Tucson AZ,530706,32.2686,-111.0022,85705
Fresno,CA,Fresno CA,522053,36.84,-119.8285,93711
Sacramento,CA,Sacramento CA,495234,38.5517,-121.4501,95817
Mesa,AZ,Mesa AZ,484587,33.3972,-111.7858,85204
Kansas City,MO,Kansas City MO,481420,39.1068,-94.566,64106
Atlanta,GA,Atlanta GA,472522,33.8477,-84.2814,30345
Long Beach,CA,Long Beach CA,470130,33.7542,-118.2019,90802
Colorado Springs,CO,Colorado Springs CO,465101,38.8609,-104.8734,80904
Raleigh,NC,Raleigh NC,458880,35.8181,-78.5636,27604
Virginia Beach,VA,Virginia Beach VA,452602,36.7968,-76.1767,23464
Omaha,NE,Omaha NE,446970,41.2079,-96.1183,68137
Oakland,CA,Oakland CA,420005,37.735,-122.2088,94621
Minneapolis,MN,Minneapolis MN,413651,45.0059,-93.4305,55441
Tulsa,OK,Tulsa OK,403090,36.0492,-96.0712,74131
Arlington,TX,Arlington TX,392772,32.6904,-97.1343,76015
New Orleans,LA,New Orleans LA,391495,29.9589,-90.1568,70121
Wichita,KS,Wichita KS,389902,37.7083,-97.2251,67206
Cleveland,OH,Cleveland OH,385809,41.4379,-81.5366,44128
Tampa,FL,Tampa FL,377165,27.943,-82.524,33609
Bakersfield,CA,Bakersfield CA,376380,35.3832,-119.2272,93312
Aurora,CO,Aurora CO,361710,39.7397,-104.794,80011
Honolulu,HI,Honolulu HI,351792,21.3209,-157.8389,96813
Anaheim,CA,Anaheim CA,351043,33.8312,-117.8673,92806
Santa Ana,CA,Santa Ana CA,334217,33.7633,-117.7942,92705
Corpus Christi,TX,Corpus Christi TX,325733,27.7479,-97.4435,78416
Riverside,CA,Riverside CA,324722,33.9936,-117.3832,92501
